date,fuerte,generator,n_confirmers,fuerte_hit,first_day_offset,outcome_bucket,closest_distance,closest_number
2020-11-25,41,39,1,True,2,FUERTE_EXACTO,0,41
2020-11-25,89,48,1,False,,VECINO_TABLA2,3,12
2020-11-28,72,40,1,True,3,FUERTE_EXACTO,0,72
2020-11-30,5,37,1,True,3,FUERTE_EXACTO,0,5
2020-12-02,3,31,1,False,,COMPANERO_TABLA1,1,88
2020-12-07,44,43,2,False,,COMPANERO_TABLA1,1,28
2020-12-07,28,43,1,True,1,FUERTE_EXACTO,0,28
2020-12-07,81,43,1,True,1,FUERTE_EXACTO,0,81
2020-12-11,82,33,1,True,1,FUERTE_EXACTO,0,82
2020-12-13,12,43,1,False,,COMPANERO_TABLA1,1,92
2020-12-13,28,43,1,True,3,FUERTE_EXACTO,0,28
2020-12-14,8,40,1,True,5,FUERTE_EXACTO,0,8
2020-12-14,72,40,1,False,,COMPANERO_TABLA1,1,19
2020-12-15,72,40,2,False,,COMPANERO_TABLA1,1,19
2020-12-15,27,26,1,True,5,FUERTE_EXACTO,0,27
2020-12-15,76,34,1,True,6,FUERTE_EXACTO,0,76
2020-12-18,35,49,2,True,6,FUERTE_EXACTO,0,35
2020-12-18,73,48,1,True,4,FUERTE_EXACTO,0,73
2020-12-19,35,49,2,True,5,FUERTE_EXACTO,0,35
2020-12-20,79,47,1,True,4,FUERTE_EXACTO,0,79
2020-12-22,77,32,1,False,,VECINO_TABLA2,3,23
2020-12-23,23,42,1,True,4,FUERTE_EXACTO,0,23
2020-12-23,71,42,1,True,3,FUERTE_EXACTO,0,71
2020-12-28,3,31,1,False,,COMPANERO_TABLA1,1,88
2021-01-03,57,30,1,True,4,FUERTE_EXACTO,0,57
2021-01-05,3,31,1,False,,COMPANERO_TABLA1,1,24
2021-01-06,22,44,1,False,,COMPANERO_TABLA1,1,70
2021-01-06,70,44,1,True,1,FUERTE_EXACTO,0,70
2021-01-07,5,37,1,True,1,FUERTE_EXACTO,0,5
2021-01-09,35,49,1,True,5,FUERTE_EXACTO,0,35
2021-01-11,73,48,2,True,2,FUERTE_EXACTO,0,73
2021-01-11,27,26,1,False,,COMPANERO_TABLA1,1,38
2021-01-13,68,47,1,False,,COMPANERO_TABLA1,1,79
2021-01-13,79,47,1,True,1,FUERTE_EXACTO,0,79
2021-01-15,26,28,1,False,,COMPANERO_TABLA1,1,21
2021-01-15,53,28,1,False,,COMPANERO_TABLA1,1,21
2021-01-16,63,38,1,True,3,FUERTE_EXACTO,0,63
2021-01-16,86,35,1,False,,COMPANERO_TABLA1,1,43
2021-01-16,90,46,1,True,1,FUERTE_EXACTO,0,90
2021-01-17,60,43,1,True,6,FUERTE_EXACTO,0,60
2021-01-18,75,44,1,True,1,FUERTE_EXACTO,0,75
2021-01-20,73,48,1,True,5,FUERTE_EXACTO,0,73
2021-01-22,58,46,1,True,1,FUERTE_EXACTO,0,58
2021-01-22,74,46,1,True,1,FUERTE_EXACTO,0,74
2021-01-22,90,46,1,False,,COMPANERO_TABLA1,1,37
2021-01-24,27,26,1,True,3,FUERTE_EXACTO,0,27
2021-01-25,59,44,1,True,4,FUERTE_EXACTO,0,59
2021-01-26,41,39,1,True,3,FUERTE_EXACTO,0,41
2021-01-31,42,37,1,True,1,FUERTE_EXACTO,0,42
2021-02-04,44,43,2,False,,COMPANERO_TABLA1,1,81
2021-02-06,74,46,1,False,,COMPANERO_TABLA1,1,90
2021-02-08,11,35,1,True,2,FUERTE_EXACTO,0,11
2021-02-08,29,41,1,True,1,FUERTE_EXACTO,0,29
2021-02-08,57,30,1,True,3,FUERTE_EXACTO,0,57
2021-02-08,93,41,1,True,3,FUERTE_EXACTO,0,93
2021-02-09,9,39,1,False,,COMPANERO_TABLA1,1,46
2021-02-09,41,39,1,True,2,FUERTE_EXACTO,0,41
