case_date,fuerte,origin,confirmer,t1_group,t1_pos_fuerte,first_t1_companion,first_t1_dist,first_t1_pos,first_t1_day,first_t1_lottery,first_t1_draw_position,first_related,first_related_primary,first_related_day,other_fuertes
2020-11-15,29,41,63,13|29|93,2,93,1,3,3,New York 2:30,1,69,RELACION_DE_TERCER_NIVEL,1,
2020-11-22,7,42,63,7|18|23|50|55|66|71,1,50,3,4,1,Gana Mas,3,76,RELACION_DE_TERCER_NIVEL,1,
2020-11-25,73,48,23,73|89,1,,,,,,,23,MISMO_GRUPO_T2,1,41|89
2020-11-25,89,48,12,73|89,2,,,,,,,23,RELACION_DE_SEGUNDO_NIVEL,1,41|73
2020-12-02,3,31,30,3|24|88|99,1,88,2,3,3,Loteria Nacional,2,83,MISMO_GRUPO_T2,1,
2020-12-07,44,43,35,12|28|44|60|81|92,3,28,-1,2,1,Gana Mas,1,28,MISMO_GRUPO_T1,1,28|81
2020-12-13,12,43,56,12|28|44|60|81|92,1,92,5,6,2,Gana Mas,1,80,RELACION_DE_TERCER_NIVEL,1,28
2020-12-14,72,40,26,8|19|51|56|67|72,6,19,-4,2,2,Loteria Nacional,2,92,RELACION_DE_TERCER_NIVEL,1,8
2020-12-15,72,40,26,8|19|51|56|67|72,6,19,-4,2,1,Loteria Nacional,2,60,RELACION_DE_TERCER_NIVEL,1,27|76
2020-12-22,77,32,73,77,1,,,,,,,7,RELACION_DE_SEGUNDO_NIVEL,1,
2020-12-28,3,31,30,3|24|88|99,1,88,2,3,1,New York 10:30,1,70,RELACION_DE_TERCER_NIVEL,1,
2021-01-05,3,31,83,3|24|88|99,1,24,1,2,4,New York 2:30,3,68,RELACION_DE_TERCER_NIVEL,1,
2021-01-06,22,44,90,22|59|70|75|91,1,70,2,3,1,Quiniela Loteka,2,6,RELACION_DE_TERCER_NIVEL,1,70
2021-01-11,27,26,68,27|38,1,38,1,2,3,Quiniela Real,1,79,COMPANERO_DEL_CONFIRMADOR,1,73
2021-01-13,68,47,76,4|36|68|79|84,3,79,1,4,1,Quiniela Leidsa,1,81,RELACION_DE_SEGUNDO_NIVEL,1,79
2021-01-15,26,28,72,21|26|53,2,21,-1,1,7,Quiniela Leidsa,3,92,RELACION_DE_TERCER_NIVEL,1,53
2021-01-15,53,28,22,21|26|53,3,21,-2,1,7,Quiniela Leidsa,3,92,RELACION_DE_SEGUNDO_NIVEL,1,26
2021-01-16,86,35,46,6|11|43|54|86,5,43,-2,3,1,New York 10:30,1,51,RELACION_DE_SEGUNDO_NIVEL,1,63|90
2021-01-22,90,46,70,37|58|74|90,4,37,-3,1,1,Gana Mas,3,19,RELACION_DE_TERCER_NIVEL,1,58|74
2021-02-04,44,43,63,12|28|44|60|81|92,3,81,2,5,1,Quiniela Leidsa,1,9,MISMO_GRUPO_T2,1,
2021-02-06,74,46,31,37|58|74|90,3,90,1,4,3,Gana Mas,2,94,RELACION_DE_SEGUNDO_NIVEL,1,
2021-02-09,9,39,42,9|14|30|41|46|62|78|94,1,46,4,5,2,New York 10:30,1,39,RELACION_DE_SEGUNDO_NIVEL,1,41|50|62|71
2021-02-10,9,39,29,9|14|30|41|46|62|78|94,1,46,4,5,1,New York 10:30,1,57,RELACION_DE_TERCER_NIVEL,1,41|69
2021-02-10,69,45,11,69|80,1,80,1,2,1,Gana Mas,2,57,MISMO_GRUPO_T2,1,9|41
2021-02-12,14,39,54,9|14|30|41|46|62|78|94,2,78,5,7,1,New York 10:30,1,85,CANDIDATO_ORIGINAL_ALTERNATIVO,1,9
2021-02-15,44,43,29,12|28|44|60|81|92,3,81,2,5,1,Loteria Nacional,2,59,RELACION_DE_SEGUNDO_NIVEL,1,81|90
2021-02-16,58,46,84,37|58|74|90,2,90,2,4,5,New York 10:30,1,94,MISMO_GRUPO_T2,1,73
2021-02-16,73,48,23,73|89,1,89,1,2,1,New York 2:30,3,51,RELACION_DE_TERCER_NIVEL,1,58
2021-02-18,32,36,45,32|48|64|85,1,64,2,3,1,Quiniela Loteka,2,20,RELACION_DE_TERCER_NIVEL,1,7|48
2021-02-22,27,26,76,27|38,1,,,,,,,65,CANDIDATO_ORIGINAL_ALTERNATIVO,1,34|51|72
2021-03-03,37,46,65,37|58|74|90,1,74,2,3,5,Quiniela Leidsa,3,44,RELACION_DE_SEGUNDO_NIVEL,1,
2021-03-09,76,34,92,1|17|33|49|76,5,17,-3,2,1,Quiniela Real,1,19,CANDIDATO_ORIGINAL_ALTERNATIVO,1,72
2021-03-12,23,42,77,7|18|23|50|55|66|71,3,71,4,7,1,Gana Mas,3,71,MISMO_GRUPO_T1,1,37|71|90
2021-03-12,90,46,42,37|58|74|90,4,37,-3,1,3,Gana Mas,2,71,CANDIDATO_ORIGINAL_ALTERNATIVO,1,23|37|71
2021-03-13,32,36,45,32|48|64|85,1,85,3,4,1,Quiniela Loteka,2,52,RELACION_DE_SEGUNDO_NIVEL,1,48
2021-03-14,70,44,7,22|59|70|75|91,3,22,-2,1,1,Loteria Nacional,1,37,CANDIDATO_ORIGINAL_ALTERNATIVO,1,22|90|91
2021-03-15,32,36,45,32|48|64|85,1,85,3,4,1,Quiniela Loteka,1,92,RELACION_DE_TERCER_NIVEL,1,9
2021-03-18,7,42,63,7|18|23|50|55|66|71,1,55,4,5,1,Gana Mas,3,67,RELACION_DE_TERCER_NIVEL,1,29|71
2021-03-19,42,37,44,5|10|42,3,10,-1,2,3,Gana Mas,1,62,RELACION_DE_SEGUNDO_NIVEL,1,
2021-03-24,48,36,93,32|48|64|85,2,85,2,4,6,Loteria Nacional,3,44,RELACION_DE_TERCER_NIVEL,1,
2021-03-31,100,38,10,20|31|47|52|63|100,6,47,-3,3,4,New York 10:30,3,7,RELACION_DE_SEGUNDO_NIVEL,1,
2021-04-01,90,46,22,37|58|74|90,4,74,-1,3,3,Gana Mas,1,40,RELACION_DE_SEGUNDO_NIVEL,1,
2021-04-02,51,40,21,8|19|51|56|67|72,3,67,2,5,1,New York 2:30,3,34,RELACION_DE_SEGUNDO_NIVEL,1,
2021-04-03,1,34,10,1|17|33|49|76,1,33,2,3,2,New York 10:30,2,74,RELACION_DE_TERCER_NIVEL,1,
2021-04-04,77,32,23,77,1,,,,,,,50,COMPANERO_DEL_CONFIRMADOR,1,28
2021-04-06,77,32,87,77,1,,,,,,,92,RELACION_DE_SEGUNDO_NIVEL,1,
2021-04-14,7,42,63,7|18|23|50|55|66|71,1,71,6,7,1,Quiniela Loteka,2,6,RELACION_DE_TERCER_NIVEL,1,
2021-04-23,12,43,56,12|28|44|60|81|92,1,60,3,4,4,Quiniela Leidsa,3,36,RELACION_DE_TERCER_NIVEL,1,44|63
