case_date,fuerte,origin,confirmer,n_confirmers,n_fuertes_same_day,all_fuertes,t1_pos_fuerte,fuerte_appeared,first_day_offset
2021-01-15,53,28,22,1,2,26|53,3,False,
2021-01-16,63,38,35,1,3,63|86|90,5,True,3
2021-01-16,86,35,46,1,3,63|86|90,5,False,
2021-01-16,90,46,35,1,3,63|86|90,4,True,1
2021-01-22,58,46,84,1,3,58|74|90,2,True,1
2021-01-22,74,46,31,1,3,58|74|90,3,True,1
2021-01-22,90,46,70,1,3,58|74|90,4,False,
2021-02-08,11,35,91,1,4,11|29|57|93,2,True,2
2021-02-08,29,41,35,1,4,11|29|57|93,2,True,1
2021-02-08,57,30,91,1,4,11|29|57|93,2,True,3
2021-02-08,93,41,97,1,4,11|29|57|93,3,True,3
2021-02-09,9,39,42,1,5,9|41|50|62|71,1,False,
2021-02-09,41,39,12,1,5,9|41|50|62|71,4,True,2
2021-02-09,50,42,5,1,5,9|41|50|62|71,4,True,6
2021-02-09,62,39,75,1,5,9|41|50|62|71,6,True,3
2021-02-09,71,42,12,1,5,9|41|50|62|71,7,True,2
2021-02-10,9,39,29,1,3,9|41|69,1,False,
2021-02-10,41,39,12,1,3,9|41|69,4,True,1
2021-02-10,69,45,11,1,3,9|41|69,1,False,
2021-02-12,9,39,29,1,2,9|14,1,True,6
2021-02-12,14,39,54,1,2,9|14,2,False,
2021-02-15,44,43,29,1,3,44|81|90,3,False,
2021-02-15,81,43,52,1,3,44|81|90,5,True,1
2021-02-15,90,46,29,1,3,44|81|90,4,True,6
2021-02-16,58,46,84,2,2,58|73,2,False,
2021-02-16,73,48,23,1,2,58|73,1,False,
2021-02-18,7,42,9,1,3,7|32|48,1,True,3
2021-02-18,32,36,45,1,3,7|32|48,1,False,
2021-02-18,48,36,93,1,3,7|32|48,2,True,2
2021-02-20,53,28,29,1,2,53|63,3,True,4
2021-02-20,63,38,29,1,2,53|63,5,True,3
2021-02-22,27,26,76,1,4,27|34|51|72,1,False,
2021-02-22,34,51,26,1,4,27|34|51|72,1,True,2
2021-02-22,51,40,21,1,4,27|34|51|72,3,True,3
2021-02-22,72,40,26,1,4,27|34|51|72,6,True,3
