relation,generator,candidate,n_confirmers,activations,w3_hits,hit_rate_w3,lift_vs_base_freq_random_one,security_level
46->74<-31,46,74,1,9,1,0.111111,0.5975,D_SIN_VENTAJA
43->44<-42,43,44,1,5,1,0.2,1.0754,C_PROMETEDOR_NO_CONCLUYENTE
42->71<-12,42,71,1,4,1,0.25,1.3443,D_SIN_VENTAJA
40->72<-59,40,72,1,5,0,0.0,0.0,D_SIN_VENTAJA
40->72<-34,40,72,1,7,2,0.285714,1.5363,C_PROMETEDOR_NO_CONCLUYENTE
43->92<-76,43,92,1,3,1,0.333333,1.7924,D_SIN_VENTAJA
"46->90<-22,29",46,90,2,1,1,1.0,5.3772,D_SIN_VENTAJA
"49->35<-7,9",49,35,2,1,0,0.0,0.0,D_SIN_VENTAJA
47->68<-27,47,68,1,4,1,0.25,1.3443,D_SIN_VENTAJA
44->22<-29,44,22,1,7,0,0.0,0.0,D_SIN_VENTAJA
44->70<-29,44,70,1,7,1,0.142857,0.7682,D_SIN_VENTAJA
"41->29<-22,90",41,29,2,1,0,0.0,0.0,D_SIN_VENTAJA
"43->44<-22,90",43,44,2,1,0,0.0,0.0,D_SIN_VENTAJA
43->12<-41,43,12,1,4,2,0.5,2.6886,D_SIN_VENTAJA
38->100<-1,38,100,1,5,0,0.0,0.0,D_SIN_VENTAJA
39->9<-35,39,9,1,3,2,0.666667,3.5848,D_SIN_VENTAJA
39->46<-19,39,46,1,7,1,0.142857,0.7682,D_SIN_VENTAJA
35->86<-19,35,86,1,5,1,0.2,1.0754,C_PROMETEDOR_NO_CONCLUYENTE
41->29<-35,41,29,1,2,0,0.0,0.0,D_SIN_VENTAJA
43->28<-23,43,28,1,7,1,0.142857,0.7682,D_SIN_VENTAJA
41->29<-9,41,29,1,3,1,0.333333,1.7924,D_SIN_VENTAJA
49->35<-22,49,35,1,2,0,0.0,0.0,D_SIN_VENTAJA
"42->7<-9,53",42,7,2,1,0,0.0,0.0,D_SIN_VENTAJA
40->56<-89,40,56,1,5,0,0.0,0.0,D_SIN_VENTAJA
28->21<-51,28,21,1,4,0,0.0,0.0,D_SIN_VENTAJA
41->29<-7,41,29,1,4,0,0.0,0.0,D_SIN_VENTAJA
34->17<-13,34,17,1,2,1,0.5,2.6886,D_SIN_VENTAJA
51->34<-59,51,34,1,5,0,0.0,0.0,D_SIN_VENTAJA
"46->90<-9,53",46,90,2,2,0,0.0,0.0,D_SIN_VENTAJA
"43->44<-7,9,53",43,44,3,1,0,0.0,0.0,D_SIN_VENTAJA
37->42<-90,37,42,1,4,1,0.25,1.3443,D_SIN_VENTAJA
39->9<-53,39,9,1,6,0,0.0,0.0,D_SIN_VENTAJA
"39->9<-42,63",39,9,2,1,0,0.0,0.0,D_SIN_VENTAJA
38->63<-29,38,63,1,2,0,0.0,0.0,D_SIN_VENTAJA
39->9<-63,39,9,1,4,1,0.25,1.3443,D_SIN_VENTAJA
39->41<-89,39,41,1,7,1,0.142857,0.7682,D_SIN_VENTAJA
39->46<-86,39,46,1,6,1,0.166667,0.8962,D_SIN_VENTAJA
46->58<-94,46,58,1,4,1,0.25,1.3443,D_SIN_VENTAJA
26->27<-92,26,27,1,3,0,0.0,0.0,D_SIN_VENTAJA
"44->70<-7,22,29",44,70,3,1,0,0.0,0.0,D_SIN_VENTAJA
"44->22<-7,29",44,22,2,1,0,0.0,0.0,D_SIN_VENTAJA
33->2<-20,33,2,1,3,0,0.0,0.0,D_SIN_VENTAJA
47->68<-76,47,68,1,6,1,0.166667,0.8962,D_SIN_VENTAJA
33->87<-23,33,87,1,8,1,0.125,0.6722,D_SIN_VENTAJA
"41->29<-42,90",41,29,2,1,0,0.0,0.0,D_SIN_VENTAJA
30->57<-11,30,57,1,4,1,0.25,1.3443,D_SIN_VENTAJA
39->9<-7,39,9,1,4,2,0.5,2.6886,D_SIN_VENTAJA
39->30<-83,39,30,1,7,2,0.285714,1.5363,C_PROMETEDOR_NO_CONCLUYENTE
48->89<-12,48,89,1,4,1,0.25,1.3443,D_SIN_VENTAJA
"42->7<-22,90",42,7,2,1,0,0.0,0.0,D_SIN_VENTAJA
"46->90<-9,35",46,90,2,1,1,1.0,5.3772,D_SIN_VENTAJA
35->86<-46,35,86,1,3,1,0.333333,1.7924,D_SIN_VENTAJA
